loginId,visits,female,game,teacher,eng_class,course_total,total_assm,total_time,avg_time,maxLevel,finalLevel,total_wk,m30_n,stay_30m
7305,9,1,1,3,34,85,79,4484,56.75949,6,5,7,7,10.67619
7308,6,1,1,3,34,84,58,3211,55.36207,8,8,5,5,10.70333
7309,8,1,1,3,34,80,49,2867,58.5102,8,8,4,5,9.556666
7311,2,1,1,3,34,85,48,2755,57.39583,8,8,1,2,22.95833
7314,2,1,1,3,34,81,23,1077,46.82609,4,4,2,2,8.975
7315,23,1,1,3,34,72,124,7065,56.97581,7,7,4,4,29.4375
7321,3,1,1,3,34,79,38,2064,54.31579,6,6,2,2,17.2
7325,4,1,1,3,34,84,38,1832,48.21053,7,6,2,3,10.17778
7326,2,1,1,3,35,80,18,969,53.83333,4,4,2,2,8.075
7327,21,1,1,3,35,90,82,4573,55.76829,12,11,5,7,10.88809
7328,2,1,1,3,35,90,24,1387,57.79167,7,7,2,2,11.55833
7329,16,1,1,3,35,88,96,5661,58.96875,8,8,8,8,11.79375
7330,6,0,1,3,35,61,46,2422,52.65217,4,4,4,4,10.09167
7334,17,1,1,3,35,74,81,4557,56.25926,7,7,5,5,15.19
7335,3,0,1,3,35,69,16,749,46.8125,4,2,2,2,6.241667
7336,2,0,1,3,35,75,26,1254,48.23077,4,4,2,2,10.45
7337,4,1,1,3,35,80,31,1690,54.51613,5,5,2,3,9.388889
7347,2,1,1,3,35,76,25,1267,50.68,6,6,2,2,10.55833
7348,2,1,1,3,35,78,14,696,49.71429,4,4,2,2,5.8
7354,4,0,1,4,41,71,36,1597,44.36111,3,2,3,3,8.872222
7357,3,1,1,4,41,86,6,303,50.5,4,4,2,2,2.525
7358,5,1,1,4,41,87,107,5969,55.78505,10,10,2,3,33.16111
7362,10,1,1,4,41,76,30,1621,54.03333,5,5,2,2,13.50833
7364,18,1,1,4,41,80,139,8252,59.36691,11,11,5,7,19.64762
7366,7,1,1,4,41,76,85,4810,56.58823,10,9,3,5,16.03333
7371,8,1,1,4,41,82,65,3371,51.86154,6,5,3,5,11.23667
7377,7,0,1,4,42,73,10,517,51.7,3,3,2,2,4.308333
7378,2,0,1,4,42,62,37,1296,35.02703,7,7,2,2,10.8
7379,5,0,1,4,42,76,15,603,40.2,3,2,2,2,5.025
7382,3,1,1,4,42,86,9,497,55.22222,5,5,1,2,4.141667
7386,5,1,1,4,42,86,27,1564,57.92593,7,7,4,4,6.516667
7387,13,1,1,4,42,81,84,4992,59.42857,9,9,8,8,10.4
7391,6,1,1,4,42,80,22,906,41.18182,4,4,3,3,5.033333
7394,4,1,1,4,42,87,50,2742,54.84,7,6,3,3,15.23333
7396,8,1,1,4,42,73,41,2404,58.63415,9,9,1,4,10.01667
7402,7,1,1,4,42,66,11,573,52.09091,5,5,2,2,4.775
7404,9,0,1,4,43,66,92,4471,48.59783,5,4,2,4,18.62917
7408,5,1,1,4,43,81,44,2530,57.5,8,8,5,5,8.433333
7409,15,1,1,4,43,80,97,5501,56.71134,11,11,8,8,11.46042
7410,2,1,1,4,43,64,74,3420,46.21622,11,10,2,2,28.5
7413,15,1,1,4,43,76,62,3479,56.1129,9,9,6,9,6.442593
7415,11,1,1,4,43,87,196,11241,57.35204,12,11,2,3,62.45
7418,8,1,1,4,43,84,81,4604,56.83951,10,9,4,4,19.18333
7419,9,1,1,4,43,81,39,1668,42.76923,6,6,2,2,13.9
7423,3,1,1,4,43,82,53,2501,47.18868,6,4,2,2,20.84167
7424,16,1,1,4,43,85,123,6710,54.55285,11,10,3,11,10.16667
7425,12,1,1,4,43,85,173,9873,57.06936,9,8,4,6,27.425
7427,2,1,1,4,43,85,37,2104,56.86486,10,10,2,2,17.53333
7429,3,0,1,4,44,66,23,911,39.6087,3,3,2,3,5.061111
7431,7,0,1,4,44,73,88,3717,42.23864,8,8,4,6,10.325
7432,13,0,1,4,44,74,53,2840,53.58491,7,7,7,7,6.761905
7434,4,0,1,4,44,70,44,2514,57.13636,5,4,3,4,10.475
7435,6,0,1,4,44,65,71,1675,23.59155,3,1,4,4,6.979167
7437,13,0,1,4,44,77,93,5388,57.93548,8,7,5,5,17.96
7439,10,0,1,4,44,60,104,5933,57.04808,12,12,1,2,49.44167
7442,10,1,1,4,44,82,49,2760,56.32653,9,8,4,6,7.666667
7443,5,1,1,4,44,86,44,2450,55.68182,10,10,4,4,10.20833
